index,angle,X,Y,Z,Total_in_Debye
11,45,0.7624,2.8824,0.2544,2.9924
11,-60,0.7798,2.8747,0.2701,2.9908
11,60,0.7771,2.8802,0.2183,2.9911
11,-75,0.7678,2.8741,0.3121,2.9912
11,75,0.7613,2.8876,0.1742,2.9914
11,-90,0.7403,2.8821,0.3417,2.9952
11,90,0.7332,2.9027,0.1370,2.9970
12,0,0.5513,2.8945,-0.6551,3.0185
12,-105,0.5520,2.8280,0.7458,2.9763
12,105,-0.8917,2.7679,-1.0175,3.0809
12,-120,0.5354,2.7956,0.9455,2.9993
12,120,-1.1013,2.7121,-0.9690,3.0834
12,-15,0.5471,2.9063,-0.4424,2.9903
12,15,0.5476,2.8769,-0.8631,3.0531
12,135,-1.1829,2.6788,-0.9260,3.0712
12,-135,0.5117,2.7589,1.1448,3.0305
12,-150,0.4180,2.8222,1.3996,3.1778
12,150,-1.3037,2.6618,-0.8537,3.0844
12,-165,0.0694,2.8289,1.5549,3.2288
12,165,-1.4952,2.6322,-0.7947,3.1298
12,180,-1.7284,2.5598,-0.7253,3.1727
12,-30,0.5762,2.9129,-0.2685,2.9815
12,30,0.3649,2.9918,-1.0931,3.2061
12,-45,0.6472,2.9144,-0.0684,2.9862
12,45,-0.1579,3.0018,-1.0606,3.1876
12,-60,0.6979,2.9192,0.1440,3.0049
12,60,-0.4624,2.9425,-0.9851,3.1373
12,-75,0.6787,2.8982,0.3502,2.9971
12,75,-0.6476,2.8687,-0.9655,3.0953
12,-90,0.6078,2.8625,0.5647,2.9803
12,90,-0.7941,2.8073,-0.9849,3.0792
13,0,5.5955,-9.8158,-4.5417,12.1773
13,-105,5.8723,-9.5884,-4.5983,12.1477
13,105,5.3130,-10.0579,-4.4587,12.2176
13,-120,4.9665,-10.1955,-4.4319,12.1761
13,120,5.2856,-10.0105,-4.4911,12.1786
13,-15,5.6318,-9.8679,-4.4988,12.2201
13,15,5.5609,-9.7974,-4.5566,12.1521
13,135,5.2520,-9.9926,-4.5098,12.1563
13,-135,5.0000,-10.2467,-4.3925,12.2184
13,-150,5.0032,-10.2876,-4.3639,12.2438
13,150,5.1821,-10.0138,-4.5087,12.1433
13,-165,4.9728,-10.2761,-4.3771,12.2264
13,165,5.0796,-10.0829,-4.4748,12.1446
13,180,4.9936,-10.1962,-4.4187,12.1829
13,-30,5.6356,-9.9031,-4.4704,12.2400
13,30,5.4860,-9.8207,-4.5620,12.1390
13,-45,5.6121,-9.8941,-4.4870,12.2279
13,45,5.3831,-9.9053,-4.5243,12.1475
13,-60,5.6287,-9.8158,-4.5246,12.1862
13,60,5.3045,-10.0188,-4.4682,12.1852
13,-75,5.7060,-9.7020,-4.5676,12.1470
13,75,5.2929,-10.0914,-4.4325,12.2269
13,-90,5.8054,-9.6152,-4.6010,12.1377
13,90,5.3194,-10.0996,-4.4300,12.2443
14,0,5.3095,-10.3221,-4.4176,12.4198
14,-105,5.5349,-7.8322,-5.9298,11.2757
14,105,5.9175,-9.6920,-4.6139,12.2573
14,-120,3.5322,-10.2427,-3.1445,11.2818
14,120,6.0257,-9.8743,-4.3908,12.3729
14,-15,6.9289,-7.9791,-3.8580,11.2499
14,15,5.3211,-10.2050,-4.4061,12.3236
14,135,6.1091,-10.1108,-4.1059,12.5064
14,-135,3.7716,-10.2027,-2.9686,11.2754
14,-150,3.9473,-10.0616,-2.4559,11.0837
14,150,6.1247,-10.3973,-3.6562,12.6089
14,-165,4.1750,-9.7358,-1.5776,10.7101
14,165,5.6489,-10.2513,-2.4205,11.9524
14,180,4.8370,-9.8977,-1.7751,11.1585
14,-30,6.7813,-8.1496,-4.0993,11.3669
14,30,5.2844,-10.0738,-4.4243,12.2058
14,-45,6.6228,-8.0964,-4.3352,11.3228
14,45,5.2139,-9.9241,-4.5419,12.0955
14,-60,6.4445,-7.7742,-4.6777,11.1288
14,60,5.2852,-9.7288,-4.7744,12.0573
14,-75,6.1385,-7.5916,-5.2103,11.0662
14,75,5.5350,-9.5812,-4.8486,12.0807
14,-90,5.8237,-7.6811,-5.6469,11.1715
14,90,5.7656,-9.5839,-4.7555,12.1536
15,0,0.1526,-0.0930,-0.0266,0.1806
15,-105,-2.2829,-1.9181,-0.9746,3.1369
15,105,0.0043,2.1911,-2.2448,3.1369
15,-120,0.3107,-2.1932,-0.1762,2.2221
15,120,1.8686,0.6038,-1.0403,2.2223
15,-15,0.0124,-0.2987,-0.0318,0.3006
15,15,0.2356,0.1025,-0.1559,0.3006
15,135,2.4387,0.8747,-1.0552,2.7974
15,-135,0.4111,-2.7662,0.0696,2.7975
15,-150,0.5397,-3.2360,0.2637,3.2913
15,150,2.9303,1.0568,-1.0625,3.2913
15,-165,0.4384,-3.4122,0.5803,3.4888
15,165,3.0904,1.3511,-0.8917,3.4887
15,180,0.4795,-3.6354,0.5753,3.7117
15,-30,-0.2068,-0.5246,-0.1545,0.5847
15,30,0.2623,0.3179,-0.4151,0.5849
15,-45,-0.4934,-0.7907,-0.3193,0.9852
15,45,0.2725,0.5853,-0.7448,0.9857
15,-60,-0.9460,-1.0591,-0.4692,1.4955
15,60,0.1971,0.9921,-1.1038,1.4972
15,-75,-1.4850,-1.3296,-0.6668,2.1018
15,75,0.0596,1.4456,-1.5247,2.1019
15,-90,-1.9859,-1.6176,-0.8674,2.7042
15,90,-0.0416,1.8758,-1.9472,2.7041
16,0,0.2260,-0.1234,-0.0713,0.2672
16,-105,0.1926,-0.1608,-0.0506,0.2559
16,105,0.1855,-0.1693,-0.0443,0.2550
16,-120,0.1841,-0.1882,-0.0440,0.2670
16,120,0.2077,-0.1565,-0.0621,0.2674
16,-15,0.2046,-0.1410,-0.0597,0.2555
16,15,0.2269,-0.0918,-0.0660,0.2535
16,135,0.2104,-0.1267,-0.0619,0.2532
16,-135,0.1613,-0.1928,-0.0260,0.2527
16,-150,0.1330,-0.1844,-0.0029,0.2273
16,150,0.2075,-0.0985,-0.0554,0.2363
16,-165,0.1206,-0.1556,-0.0004,0.1968
16,165,0.1738,-0.0842,-0.0395,0.1972
16,180,0.1402,-0.1120,-0.0169,0.1802
16,-30,0.1703,-0.1414,-0.0372,0.2245
16,30,0.2108,-0.0611,-0.0540,0.2260
16,-45,0.1525,-0.1161,-0.0289,0.1939
16,45,0.1827,-0.0582,-0.0410,0.1961
16,-60,0.1634,-0.0700,-0.0319,0.1806
16,60,0.1528,-0.0943,-0.0260,0.1814
16,-75,0.1899,-0.0301,-0.0400,0.1964
16,75,0.1367,-0.1369,-0.0133,0.1940
16,-90,0.2174,-0.0277,-0.0503,0.2249
16,90,0.1519,-0.1634,-0.0222,0.2242
17,0,0.1537,-0.0936,-0.0256,0.1818
17,-105,4.6030,1.7766,-2.3384,5.4601
17,105,1.4252,-3.9307,-3.5087,5.4583
17,-120,5.4152,1.7396,-2.7943,6.3371
17,120,2.0178,-4.3863,-4.1220,6.3484
17,-15,0.3774,0.2507,-0.1903,0.4914
17,15,-0.0344,-0.4896,0.0365,0.4922
17,135,2.1465,-4.3796,-4.4850,6.6259
17,-135,3.7460,-2.6515,-4.7837,6.6292
17,-150,3.5260,-2.6540,-4.9835,6.6567
17,150,2.0996,-4.2009,-4.7182,6.6571
17,-165,3.2944,-2.6241,-5.1304,6.6378
17,165,2.0184,-4.0005,-4.8903,6.6327
17,180,3.1134,-2.7329,-5.2286,6.6708
17,-30,0.6468,0.5485,-0.4433,0.9570
17,30,-0.1846,-0.9390,0.0107,0.9570
17,-45,0.9913,0.8368,-0.7234,1.4853
17,45,-0.2905,-1.4598,-0.0246,1.4886
17,-60,1.4566,1.1292,-1.0050,2.0993
17,60,0.3175,-1.2888,-1.6202,2.0944
17,-75,2.3506,1.1142,-1.5503,3.0282
17,75,0.5660,-2.0106,-2.1668,3.0096
17,-90,3.4109,1.6695,-1.9174,4.2542
17,90,0.7952,-3.0710,-2.8374,4.2561
18,0,-1.0408,3.0059,-1.9423,3.7271
18,-105,2.0185,2.9267,-2.7317,4.4836
18,105,-2.8964,-0.4560,-3.1134,4.2767
18,-120,1.5246,3.1088,-2.1207,4.0604
18,120,-3.8528,1.1121,-1.5072,4.2840
18,-15,-1.0561,2.3965,-3.0466,4.0175
18,15,-2.0819,3.0502,-2.0973,4.2469
18,135,-2.7504,-0.7289,-3.5368,4.5393
18,-135,2.2787,2.7230,-2.8086,4.5272
18,-150,2.5756,1.9799,-5.0812,6.0309
18,150,-1.7249,-0.8708,-5.6930,6.0119
18,-165,1.8112,2.7772,-3.1993,4.6075
18,165,-2.5388,-0.2544,-3.8198,4.5936
18,180,1.9511,2.6915,-1.2073,3.5367
18,-30,-1.0000,2.5176,-3.6796,4.5692
18,30,-1.2115,2.2553,-3.8829,4.6509
18,-45,-1.0498,2.7290,-2.2517,3.6905
18,45,-1.6734,2.2382,-2.4567,3.7209
18,-60,-1.9515,2.3733,-2.6445,4.0539
18,60,-1.0105,3.0075,-2.5588,4.0760
18,-75,-1.3504,2.1419,-3.6274,4.4237
